Count,Name,Role,Birth,Death,Origin
5,Paul Eluard,Surrealist,1895,1952,France
5,Benjamin Peret,Surrealist,1899,1959,France
4,Robert Desnos,Surrealist,1900,1945,France
4,Philippe Soupault,Surrealist,1897,1990,France
3,Tristan Tzara,Surrealist,1896,1963,Romania
3,Max Morise,Surrealist,1900,1973,France
3,Marcel Noll,Surrealist,,,
3,Marcel Duchamp,Surrealist,1887,1968,France
3,Louis Aragon,Surrealist,1897,1982,France
3,Jacques Vache,Surrealist,1895,1919,France
3,Jacques Baron,Surrealist,1905,1986,France
3,Francis Picabia,Surrealist,1879,1953,France
2,Alfred Jarry,Writer,1873,1907,France
2,Sigmund Freud,Psychologist,1856,1939,Czech Republic
2,Roger Vitrac,Surrealist,1899,1952,France
2,Andre Breton,Surrealist,1896,1966,France
2,Henri Claude,Psychologist,1869,1945,France
2,Raymond Poincare,French politician,1860,1934,France
2,Max Ernst,Surrealist,1891,1976,Germany
2,Louis X,French Royalty,1289,1316,France
2,Jean-Jacques Rousseau,Philosopher,1712,1778,Switzerland
2,Isidore Ducasse,Poet,1846,1870,Uruguay
2,Christopher Columbus,Explorer,1451,1506,Italy
2,Guillaume Apollinaire,Surrealist,1880,1918,France
2,Georges Auric,Composer,1899,1983,France
2,Etienne Dolet,Printer,1509,1546,France
