Name,Count,Role
Blanche Derval,1,Actress
Juliette Drouet,1,Actress
Antontin Mercie,1,Artist
Arnold Bocklin,1,Artist
Jacques Rigaud,1,Artist
Pablo Picasso,1,Artist
Fred Bretonnel,1,Boxer
Edward V,1,British royalty
Monsieur Oudin,1,Clockmaer
Boris Souvarine,1,Communist
Georges Auric,2,Composer
Christopher Columbus,2,Explorer
Alfred Petitdemange,1,Fictional character
Aunt Sophie,1,Fictional character
Cousin Cynthia,1,Fictional character
Don Juan,1,Fictional character
Lady Cynthia,1,Fictional character
Lady Macbeth,1,Fictional character
Mademoiselle Cynthia,1,Fictional character
Mademoiselle Solange,1,Fictional character
Marie Roget,1,Fictional character
Miss Fork,1,Fictional character
Sherlock Holmes,1,Fictional character
Gustave Courbet,1,French painter
Etienne Marcel,1,French politician
Marcel Fourrier,1,French politician
Monsieur Poincare,2,French politician
Charles VII,1,French Royalty
Empress Eugenie,1,French Royalty
Francois Premier,1,French Royalty
Henri I,1,French Royalty
Louis V,1,French Royalty
Louis X,2,French Royalty
Barillet Deschamps,1,Horticulturist
Edouard Andre,1,Horticulturist
Joseph Joffre,1,Military
Lieutenant Condamine,1,Military
Gustave Moreau,1,Painter
Henri Matisse,1,Painter
Horace Vernet,1,Painter
Hegel,1,Philosopher
Jacques Rousseau,2,Philosopher
William James,1,Philosopher
Anatole France,1,Poet
Arthur Rimbaud,1,Poet
Edgar Poe,1,Poet
Germain Nouveau,1,Poet
Isidore Ducasse,2,Poet
Paul Claudel,1,Poet
President Wilson,1,President
Etienne Dolet,2,Printer
Professor Janet,1,Professor
Henri Claude,2,Psychologist
Sigmund Freud,2,Psychologist
Archduke Rudolf,1,Royalty
Prince Rupert,1,Royalty
Joan of Arc,1,Saint
Saint Arseho,1,Saint
Saint Denis,1,Saint
Saint John,1,Saint
Saint Louis,1,Saint
Saint Paul,1,Saint
Saint Theresa,1,Saint
Saint Thomas Aquinas,1,Saint
Emile Duclaux,1,Scientist
Monsieur Landruis,1,Serial killer
Jean Jaures,1,Socialist
Serge Voronoff,1,Surgeon
Anatole Crasse,1,Unknown
Boulounge Shootgrove,1,Unknown
Charles Baron,1,Unknown
Duchenes Martinets,1,Unknown
Francis Girard,1,Unknown
Frau Krafft,1,Unknown
Madame Aubry,1,Unknown
Madame Camee,1,Unknown
Madame Campan,1,Unknown
Madame Deluc,1,Unknown
Madame High,1,Unknown
Madame Sierri,1,Unknown
Madame Superior,1,Unknown
May Woodson,1,Unknown
Michel Marty,1,Unknown
Mirette Mattrejean,1,Unknown
Monsieur Delouit,1,Unknown
Alfred Jarry,2,Writer
Alphonse Rabbe,1,Writer
Andre Gide,1,Writer
Eugene Sue,1,Writer
Fanny Beznos,1,Writer
Fyodor Dostoevsky,1,Writer
Gustave Aimard,1,Writer
Henri Becque,1,Writer
Henry Bataille,1,Writer
Jacques Prevert,1,Writer
Jean Paulham,1,Writer
Jules Mary,1,Writer
Jules Verne,1,Writer
Knut Hamsum,1,Writer
Paul Valery,1,Writer
Raymond Roussel,1,Writer
Stendhal,1,Writer
Thomas Carlyle,1,Writer
