Name,Source,Role
Alfred Jarry,Manifestoes of Surrealism,Writer
Alfred Jarry,Punishments of Hell,Writer
Alfred Petitdemange,Babylon,Fictional character
Alphonse Rabbe,Manifestoes of Surrealism,Writer
Anatole Crasse,Death to the Pigs,Unknown
Anatole France,Manifestoes of Surrealism,Poet
Andre Breton,Paris Peasant,Surrealist
Andre Breton,Punishments of Hell,Surrealist
Andre Gide,Death to the Pigs,Writer
Antontin Artaud,Manifestoes of Surrealism,Surrealist
Antontin Mercie,Paris Peasant,Artist
Archduke Rudolf,Punishments of Hell,Royalty
Arnold Bocklin,Paris Peasant,Artist
Arthur Rimbaud,Punishments of Hell,Poet
Aunt Sophie,Babylon,Fictional character
Avida Dollars,Manifestoes of Surrealism,Surrealist
Barillet Deschamps,Paris Peasant,Horticulturist
Benjamin Peret,Paris Peasant,Surrealist
Benjamin Peret,Manifestoes of Surrealism,Surrealist
Benjamin Peret,Nadja,Surrealist
Benjamin Peret,The Exquisite Corpse,Surrealist
Benjamin Peret,Punishments of Hell,Surrealist
Blanche Derval,Nadja,Actress
Boris Souvarine,Manifestoes of Surrealism,Communist
Boulounge Shootgrove,Death to the Pigs,Unknown
Charles Baron,Paris Peasant,Unknown
Charles VII,Death to the Pigs,French Royalty
Christopher Columbus,Paris Peasant,Explorer
Christopher Columbus,Manifestoes of Surrealism,Explorer
Cousin Cynthia,Babylon,Fictional character
Don Juan,Paris Peasant,Fictional character
Duchenes Martinets,Paris Peasant,Unknown
Edgar Poe,Manifestoes of Surrealism,Poet
Edouard Andre,Paris Peasant,Horticulturist
Edward V,Paris Peasant,British royalty
Emile Duclaux,Manifestoes of Surrealism,Scientist
Empress Eugenie,Babylon,French Royalty
Etienne Dolet,Paris Peasant,Printer
Etienne Dolet,Nadja,Printer
Etienne Marcel,Manifestoes of Surrealism,French politician
Eugene Sue,Punishments of Hell,Writer
Fanny Beznos,Nadja,Writer
Francis Girard,Manifestoes of Surrealism,Unknown
Francis Picabia,Paris Peasant,Surrealist
Francis Picabia,Manifestoes of Surrealism,Surrealist
Francis Picabia,Punishments of Hell,Surrealist
Francois Premier,Babylon,French Royalty
Frau Krafft,Paris Peasant,Unknown
Fred Bretonnel,Paris Peasant,Boxer
Fyodor Dostoevsky,Manifestoes of Surrealism,Writer
Gala Dalí,Letters to Gala,Surrealist
Georges Auric,Manifestoes of Surrealism,Composer
Georges Auric,Punishments of Hell,Composer
Georges Limbour,Manifestoes of Surrealism,Surrealist
Georges Limbour,Punishments of Hell,Surrealist
Georges Malkine,Manifestoes of Surrealism,Surrealist
Germain Nouveau,Punishments of Hell,Poet
Guillaume Apollinaire,Manifestoes of Surrealism,Surrealist
Guillaume Apollinaire,Punishments of Hell,Surrealist
Gustave Aimard,Punishments of Hell,Writer
Gustave Courbet,Paris Peasant,French painter
Gustave Moreau,Manifestoes of Surrealism,Painter
Hegel,Manifestoes of Surrealism,Philosopher
Henri Becque,Nadja,Writer
Henri I,Nadja,French Royalty
Henri Matisse,Nadja,Painter
Henry Bataille,Paris Peasant,Writer
Horace Vernet,Paris Peasant,Painter
Isidore Ducasse,Manifestoes of Surrealism,Poet
Isidore Ducasse,Punishments of Hell,Poet
J. A. Boiffard,Manifestoes of Surrealism,Surrealist
Jacques Baron,Paris Peasant,Surrealist
Jacques Baron,Manifestoes of Surrealism,Surrealist
Jacques Baron,Punishments of Hell,Surrealist
