Name Identified,Source,Role
André Breton,Paris Peasant,Surrealist
Philippe Soupault,Paris Peasant,Surrealist
Marcel Noll,Paris Peasant,Surrealist
Henry Bataille,Paris Peasant,Unknown
Arnold B,Paris Peasant,Unknown
Louis X,Paris Peasant,French Royalty
Etienne Dolet,Paris Peasant,Unknown
Antontin Merei,Paris Peasant,Unknown
Paul Eluard,Paris Peasant,Surrealist
Frau Krafft,Paris Peasant,Unknown
Edouard André,Paris Peasant,Unknown
Duchenes Martinets,Paris Peasant,Unknown
Barillet Deschamps,Paris Peasant,Unknown
Robert Desnos,Paris Peasant,Surrealist
Jean Jaur,Paris Peasant,Unknown
Jacques Rousseau,Paris Peasant,Enlightenment thinker
Gustave Courbet,Paris Peasant,Unknown
Horace Vernet,Paris Peasant,Unknown
Monsieur Oudin,Paris Peasant,Unknown
Francis Picabia,Paris Peasant,Surrealist
Max Morise,Paris Peasant,Unknown
Edward V,Paris Peasant,Unknown
Christopher Columbus,Paris Peasant,Explorer
Jules Verne,Paris Peasant,Writer
Don Juan,Paris Peasant,Unknown
Benjamin Peret,Paris Peasant,Surrealist
Monsieur Landruis,Paris Peasant,Unknown
Sigmund Freud,Paris Peasant,Psychologist
Charles Baron,Paris Peasant,Unknown
Jacques Baron,Paris Peasant,Unknown
Fred Bretonnel,Paris Peasant,Unknown
Christopher Columbus,Manifestoes of Surrealism,Explorer
Saint Thomas (Aquinas),Manifestoes of Surrealism,Saint
Anatole France,Manifestoes of Surrealism,Poet
(Fyodor) Dostoevsky,Manifestoes of Surrealism,Writer
Paul Valery,Manifestoes of Surrealism,Writer
(Stendhal),Manifestoes of Surrealism,Writer
Sigmund Freud,Manifestoes of Surrealism,Psychologist
Louis Aragon,Manifestoes of Surrealism,Surrealist
Philippe Soupault,Manifestoes of Surrealism,Surrealist
Paul Eluard,Manifestoes of Surrealism,Surrealist
Robert Desnos,Manifestoes of Surrealism,Surrealist
Roger Vitrac,Manifestoes of Surrealism,Surrealist
Georges Auric,Manifestoes of Surrealism,Unknown
Jean Paulham,Manifestoes of Surrealism,Unknown
Max Morise,Manifestoes of Surrealism,Unknown
Benjamin Peret,Manifestoes of Surrealism,Surrealist
Joseph Delteil,Manifestoes of Surrealism,Unknown
Jean Carrive,Manifestoes of Surrealism,Unknown
Georges Limbour(s),Manifestoes of Surrealism,Unknown
