Topic Id,Top Words...
0,nadja day work dream sense fact extremely le means thing window des chance period regard impossible manner attention decided show
1,day eyes night love sea fish trees light sky birds sun water glass wind hands dreams animals flight heart clouds
2,man time woman made great back long hand life make eyes left head place longer women good men end hands
3,colour coloured towns traveller dusty avenue gradually games shop sighs hotels days gaze slightly painfully travellers delightful 80 slow sight
4,surrealism surrealist point thought marvelous part mind reality idea art poetry sort ideas shadow dreams men system naville birds surrealists
5,cynthia amie child petitdemange mac louf mother babylon grandmother family hair kerosene woman ll father young cook entire daughter asked
6,angle poetry exquisite art puts believed ghosts games companions drapery traces roaming 9 visualize trembling swarm interpretations talking enthusiasm scale
7,flowers miss lies captain breton louis ground morin péret stood aragon hundred benjamin fell stopped asked verdure baignoire car vitrac
8,mr seller broom minister coal salade honourable abencerage tears trees soup left heart boomerang started dust letter tree handkerchief stopped
9,rue idea mind nature sense passage love imagination de human thought pleasure shop café feeling metaphysics knowledge people world concrete
