Author(s),Title,Genre,Written (original),Published (translation),Word Count,Top 15 most frequent words,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"Aragon, Louis",Paris Peasant,Novel,1926,1971,58578,man like little rue love idea just great mind thought time sense world place nature,man,like,little,rue,love,idea,just,great,mind,thought,time,sense,world,place,nature
"Aragon, Louis",The Adventures of Telemachus,Novel,1922,1997,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Aragon, Louis",The Libertine,Novel,1924,1987,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Artaud, Antonin",Anthology,Poetry,various,1965,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Breton, André",Nadja,Novel,1928,1994,24056,nadja time know like man certain quite woman day eyes way just life hand it's ,nadja,time,know,like,man,certain,quite,woman,day,eyes,way,just,life,hand,it's
"Breton, André",Surrealism and Painting,Essay,1928,2002,608,corpse exquisite games having began chateau day enthusiasm game good greatest house idea kisses long,corpse,exquisite,games,having,began,chateau,day,enthusiasm,game,good,greatest,house,idea,kisses,long
"Breton, André",Manifestoes of Surrealism,Essay,various,1972,50022,like time man day great certain surrealism long make thought way point little come life,like,time,man,day,great,certain,surrealism,long,make,thought,way,point,little,come,life
"Crevel, Rene",Babylon,Novel,1927,1985,40519,little cynthia woman like child time amie day life man hair young petitdemange eyes old,little,cynthia,woman,like,child,time,amie,day,life,man,hair,young,petitdemagne,eyes,old
"Dalí, Salvador",The Collected Writings of SD,Mixed,various,2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Desnos, Robert",The Punishments of Hell,Novel,1922,2017,23284,flowers miss lies eyes hand left said right woman time like captain long way little,flowers,miss,lies,eyes,hand,left,said,right,woman,time,like,captain,long,way,little
"Desnos, Robert",Essential Poems and Writings of RD,Mixed,various,2007,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Eluard, Paul",Letters to Gala,Poetry,various,1989,3708,eyes like day night endoftext love heart light hands just mouth shade trees beneath death,eyes,like,day,night,endoftext,love,heart,light,hands,just,mouth,shade,trees,beneath,death
"Eluard, Paul",Selected Poems,Poetry,various,1987,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Eluard, Paul",Shadows and Sun,Poetry,various,1995,3198,like love eyes light water man sky head night dream birds hands world away earth,like,love,eyes,light,water,man,sky,head,night,dream,birds,hands,world,away,earth
"Eluard, Paul",Unbroken Poetry II,Poetry,various,1996,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Peret, Benjamin",Death to the Pigs,Novel,various,1988,25067,like mr broom seller said little left head came coal minister long time right suddenly,like,mr,broom,seller,said,little,left,head,came,coal,minister,long,time,right,suddenly
Various,The Automatic Muse,Novel,various,1994,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Soupault & Breton,The Magnetic Fields,Novel,1920,1985,14633,longer little eyes like time day hands know away man days blue long night shall,longer,little,eyes,like,time,day,hands,know,away,man,days,blue,long,night,shall
Bunuel & Dalí,Un Chien Andalou,Screenplay,not available,not available,2685,woman young man hand room box newcomer door character seen hands looks head bed eyes,woman,young,man,hand,room,box,newcomer,door,character,seen,hands,looks,head,bed,eyes
